course_name	course_code	course_desc	prof_prereq	min_offering	spring_req	summer_req	fall_req	spring_peng_req	summer_peng_req	fall_peng_req	year_req	notes
Fundamentals of Programming with Engineering Applications	CSC111	"Fundamentals of computer programming with real-world engineering examples using an imperative programming language. Topics include variables, data types, statements, control structures, functions, parameter passing mechanisms, expressions, data structures, files, pointers, storage allocation, elementary searching and sorting, recursion, encapsulation, modularity, incremental development, testing and debugging."	NULL	2	1	0	1	0	0	0	1	2 sections in fall; PENG Preferred
Fundamentals of Programming II	CSC115	"Techniques, methods, and tools for systematic development and maintenance of software systems and documentation; basic algorithms and data structures; and fundamental concepts of object-oriented programming. Topics include control and data abstraction, modularization, abstract data types, layers of abstraction, information hiding, separation of concerns, type checking, program design, separate compilation, software libraries, techniques for the development of high-quality software components, program understanding."	NULL	3	1	1	1	0	0	0	1	3 sections in spring; PENG Preferred
Algorithms and Data Structures I	CSC225	"Basic techniques for design, analysis, implementation of algorithms and data structures. Foundations: Random access machine model, time and space complexity, worst-case analysis, upper and lower bounds. Proof techniques for algorithm correctness. Basic data structures: stacks, queues, linked lists. Sorting: elementary sorting algorithms, mergesort, quicksort, priority queues. Searching: Binary search trees, balanced search trees, hash tables. Graphs: undirected and directed graphs, graph traversals and applications, topological sort. Algorithm design techniques: greedy, backtracking, divide and conquer."	NULL	3	1	1	1	0	0	0	2	
Algorithms and Data Structures II	CSC226	"Advanced techniques for design, analysis, and implementation of algorithms and data structures with an introduction to algorithm engineering. Algorithmic design paradigms: greedy, divide-and-conquer, dynamic programming, backtracking, branch and bound. Advanced Analysis techniques, such as amortization. Advanced data structures: hashing, disjoint sets. Advanced graph algorithms: network flow, connectivity, minimum spanning trees, shortest paths. Mathematical tools: graphs and digraphs, graph properties, planar graphs, networks; discrete probability, counting techniques, recurrences."	NULL	3	1	1	1	0	0	0	3	
Introduction to Computer Architecture	CSC230	"The architecture of computer systems including concepts such as CPU, memory, buses, I/O, cache, instruction sets, interrupt processing, pipelining, performance. Families of processors, CISC, RISC. Memory organization and management (including virtual memory, protection, segmentation and paging). Computer arithmetic. The use of assemblers, linkers and loaders. Assembly language programming and its interface with a high-level language (C)."	NULL	3	1	1	1	0	0	1	2	
Software Development Methods	SENG265	"Fundamentals of computer programming with real-world engineering examples using an imperative programming language. Topics include variables, data types, statements, control structures, functions, parameter passing mechanisms, expressions, data structures"	NULL	3	1	1	1	0	0	1	2	
Software Testing	SENG275	"An introduction to the testing of large-scale systems. Software specification, unit testing, integration testing, test driven development, black box testing, code inspection, model-based testing, software defect tracking and tools for automated testing. A software project gives experience with larger scale testing, including basic database operations."	NULL	2	1	1	0	0	1	0	2	This course is popular with Comp sci students so an extra session is generally a good idea.
Foundations of Computer Science	CSC320	"A survey of formal models and results that form the theoretical foundations of computer science; typical topics include finite automata, Turing machines, undecidable problems, context free languages and computational complexity."	NULL	3	1	1	1	0	0	0	3	
Operating Systems	CSC360	"The major concepts of operating systems and study of the interrelationships between the operating system and the architecture of computer systems. Topics discussed include operating system structures, concurrent programming techniques, cpu scheduling, deadlocks, memory management, file systems and protection."	NULL	3	1	1	1	0	0	1	3	
Computer Communications and Networks	CSC361	"An introduction to concepts in computer communication and networks. Topics include layered network architectures, packet switching networks, local area networks, protocol design and network security."	NULL	2	1	0	1	1	0	0	3	
